zmk_key,tap,shift
A,a,A
B,b,B
C,c,C
D,d,D
E,e,E
F,f,F
G,g,G
H,h,H
I,i,I
J,j,J
K,k,K
L,l,L
M,m,M
N,n,N
O,o,O
P,p,P
Q,q,Q
R,r,R
S,s,S
T,t,T
U,u,U
V,v,V
W,w,W
X,x,X
Y,y,Y
Z,z,Z
N0,0,)
NUMBER_0,0,)
N1,1,!
NUMBER_1,1,!
N2,2,@
NUMBER_2,2,@
N3,3,#
NUMBER_3,3,#
N4,4,$
NUMBER_4,4,$
N5,5,%
NUMBER_5,5,%
N6,6,^
NUMBER_6,6,^
N7,7,&
NUMBER_7,7,&
N8,8,*
NUMBER_8,8,*
N9,9,(
NUMBER_9,9,(
EXCL,!,!
EXCLAMATION,!,!
AT,@,@
AT_SIGN,@,@
HASH,#,#
POUND,#,#
DOLLAR,$,$
DLLR,$,$
PERCENT,%,%
PRCNT,%,%
CARET,^,^
AMPERSAND,&,&
AMPS,&,&
ASTERISK,*,*
ASTRK,*,*
STAR,*,*
LPAR,(,(
LEFT_PARENTHESIS,(,(
RPAR,),)
RIGHT_PARENTHESIS,),)
EQUAL,=,+
PLUS,+,+
MINUS,-,_
UNDERSCORE,_,_
UNDER,_,_
FSLH,/,?
SLASH,/,?
QUESTION,?,?
QMARK,?,?
BSLH,\,|
BACKSLASH,\,|
PIPE,|,|
NON_US_BSLH,\,|
NUBS,\,|
SEMI,;,:
SEMICOLON,;,:
COLON,:,:
SQT,',""""
APOSTROPHE,',""""
SINGLE_QUOTE,',""""
APOS,',""""
DQT,"""",""""
DOUBLE_QUOTES,"""",""""
COMMA,",",<
LT,<,<
LESS_THAN,<,<
DOT,.,>
PERIOD,.,>
GT,>,>
GREATER_THAN,>,>
LBKT,[,{
LEFT_BRACKET,[,{
LBRC,{,{
RBKT,],}
RIGHT_BRACKET,],}
RBRC,},}
GRAVE,`,~
TILDE,~,~
TILDE2,~,~
NUHS,#,#
NON_US_HASH,#,#
ESC,Esc,Esc
ESCAPE,Esc,Esc
RET,Enter,Enter
ENTER,Enter,Enter
RETURN,Enter,Enter
RET2,Enter,Enter
RETURN2,Enter,Enter
SPACE,Space,Space
TAB,Tab,Tab
BSPC,Bksp,Bksp
BACKSPACE,Bksp,Bksp
DEL,Del,Del
DELETE,Del,Del
HOME,Home,Home
END,End,End
PG_UP,PgUp,PgUp
PAGE_UP,PgUp,PgUp
PG_DN,PgDn,PgDn
PAGE_DOWN,PgDn,PgDn
UP,↑,↑
UP_ARROW,↑,↑
DOWN,↓,↓
DOWN_ARROW,↓,↓
LEFT,←,←
LEFT_ARROW,←,←
RIGHT,→,→
RIGHT_ARROW,→,→
KP_ENTER,Enter,Enter
KP_PLUS,+,+
KP_MINUS,-,-
KP_SUBTRACT,-,-
KP_MULTIPLY,*,*
KP_ASTERISK,*,*
KP_DIVIDE,/,/
KP_SLASH,/,/
KP_EQUAL,=,=
KP_EQUAL_AS400,=,=
KP_DOT,.,.
KP_COMMA,",",
KP_LPAR,(,(
KP_LEFT_PARENTHESIS,(,(
KP_RPAR,),)
KP_RIGHT_PARENTHESIS,),)
LSHIFT,Shift,Shift
LEFT_SHIFT,Shift,Shift
LSHFT,Shift,Shift
RSHIFT,Shift,Shift
RIGHT_SHIFT,Shift,Shift
RSHFT,Shift,Shift
LCTRL,Ctrl,Ctrl
LEFT_CONTROL,Ctrl,Ctrl
RCTRL,Ctrl,Ctrl
RIGHT_CONTROL,Ctrl,Ctrl
LALT,Alt,Alt
LEFT_ALT,Alt,Alt
RALT,Alt,Alt
RIGHT_ALT,Alt,Alt
LGUI,Gui,Gui
LEFT_GUI,Gui,Gui
LWIN,Gui,Gui
LEFT_WIN,Gui,Gui
LCMD,Cmd,Cmd
LEFT_COMMAND,Cmd,Cmd
LMETA,Meta,Meta
LEFT_META,Meta,Meta
RGUI,Gui,Gui
RIGHT_GUI,Gui,Gui
RWIN,Gui,Gui
RIGHT_WIN,Gui,Gui
RCMD,Cmd,Cmd
RIGHT_COMMAND,Cmd,Cmd
RMETA,Meta,Meta
RIGHT_META,Meta,Meta
C_VOL_UP,Vol+,Vol+
C_VOLUME_UP,Vol+,Vol+
C_VOL_DN,Vol-,Vol-
C_VOLUME_DOWN,Vol-,Vol-
C_MUTE,Mute,Mute
C_BRI_UP,Bri+,Bri+
C_BRI_INC,Bri+,Bri+
C_BRIGHTNESS_INC,Bri+,Bri+
C_BRI_DN,Bri-,Bri-
C_BRI_DEC,Bri-,Bri-
C_BRIGHTNESS_DEC,Bri-,Bri-
C_PP,Play,Play
C_PLAY_PAUSE,Play,Play
C_STOP,Stop,Stop
C_NEXT,Next,Next
C_PREV,Prev,Prev
C_PREVIOUS,Prev,Prev
C_AC_SEARCH,Search,Search
C_AC_DESKTOP_SHOW_ALL_WINDOWS,Mission,Mission
C_AC_DESKTOP_SHOW_ALL_APPLICATIONS,Apps,Apps
GLOBE,Globe,Globe
C_PWR,Pwr,Pwr
C_POWER,Pwr,Pwr
BTAB,⇤,⇤
PIPE2,|,|
